SMILES,bacteria,MIC (µg/mL),MIC (µmol/mL),log MIC,S. aureus,molar_mass
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC=C4,"MRSA, Methicillin-Resistant S. aureusN315",64.0,0.1673443240204473,2.223610986556937,+,382.44500000000016
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC=C4,"MRSA, Methicillin-Resistant S. aureusN315",64.0,0.1614237575415161,2.2079674523804007,+,396.47200000000015
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,"MRSA, Methicillin-Resistant S. aureusN315",16.0,0.03468150457037201,1.5400979299932256,+,461.3410000000002
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],"MRSA, Methicillin-Resistant S. aureusN315",64.0,0.1497279163020947,2.1753027807415384,+,427.44200000000023
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,"MRSA, Methicillin-Resistant S. aureusN315",32.0,0.07675885725251261,1.8851285005524616,+,416.8900000000002
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,"MRSA, Methicillin-Resistant S. aureusN315",128.0,0.3118156195264786,2.4938978661583304,+,410.49900000000025
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,"MRSA, Methicillin-Resistant S. aureusN315",16.0,0.0336581343296141,1.52709003936383,+,475.36800000000017
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],"MRSA, Methicillin-Resistant S. aureusN315",16.0,0.03624263538323187,1.5592197698762422,+,441.4690000000002
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,"MRSA, Methicillin-Resistant S. aureusN315",32.0,0.07426024037111553,1.8707563506493663,+,430.91700000000014
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,"MRSA, Methicillin-Resistant S. aureusN315",64.0,0.15075637299011124,2.1782756803208887,+,424.52600000000024
